_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,relevance,relevance:confidence,description,domain,domain_logo_url,link,name,query,relevance_gold,result_position,updatedat
766426650,false,finalized,3,8/5/2015 00:42:07,0,1.0,Included in the data set are data elements that will help the public learn about the agencies currently contracting with New York State to provide Advantage After School Program services. ,data.ny.gov,http://data.ny.gov/api/assets/D3AA5DEA-1570-4562-A82C-B153FB1385BB,https://data.ny.gov/view/izdp-qijf,Advantage After School Program,zip code,,0,None
766426651,false,finalized,3,8/5/2015 00:38:33,"0
1","0.66
0.34",Included in the data set are data elements that will help the public learn about the agencies currently contracting with New York State to provide Advantage After School Program services. ,data.ny.gov,http://data.ny.gov/api/assets/D3AA5DEA-1570-4562-A82C-B153FB1385BB,https://data.ny.gov/view/ex7k-85gi,Advantage After School Program,zip code,,1,None
766426652,false,finalized,3,8/5/2015 00:42:16,"3
2","0.6588
0.3412",A listing of NYS counties with accompanying Federal Information Processing System (FIPS) and US Postal Service ZIP codes sourced from the NYS GIS Clearinghouse.,data.ny.gov,http://data.ny.gov/api/assets/D3AA5DEA-1570-4562-A82C-B153FB1385BB,https://data.ny.gov/d/8jaw-iviy,New York State ZIP Codes-County FIPS Cross-Reference,zip code,,2,2015-05-13T14:42:58.000Z
766426653,false,finalized,3,8/5/2015 00:39:01,0,1.0,A list of all bank owned or in-bank ATMs located in New York State.,data.ny.gov,http://data.ny.gov/api/assets/D3AA5DEA-1570-4562-A82C-B153FB1385BB,https://data.ny.gov/d/7998-yipb,Bank-Owned ATM Locations in New York State,zip code,,3,2015-07-23T20:01:54.000Z
766426654,false,finalized,3,8/5/2015 00:42:26,"0
1","0.6456
0.3544",This data file provides the locations of authorized businesses that can sell E-Z Pass tags.,data.ny.gov,http://data.ny.gov/api/assets/D3AA5DEA-1570-4562-A82C-B153FB1385BB,https://data.ny.gov/d/qxdg-ewv4,EZ Pass Retailers Locations,zip code,,4,2015-06-17T14:54:17.000Z
766426655,false,finalized,3,8/5/2015 00:43:37,0,1.0,Essex County Tourist Attractions,data.ny.gov,http://data.ny.gov/api/assets/D3AA5DEA-1570-4562-A82C-B153FB1385BB,https://data.ny.gov/view/cgyk-kvc3,Essex County Tourist Attractions,houses,,0,None
766426656,false,finalized,3,8/5/2015 00:42:07,"0
1","0.6781
0.3219",Bus stops from the Capital District Transportation Authority,data.ny.gov,http://data.ny.gov/api/assets/D3AA5DEA-1570-4562-A82C-B153FB1385BB,https://data.ny.gov/view/t9kr-4ix6,Capital District Bus Stops,houses,,1,None
766426657,false,finalized,3,8/5/2015 00:42:26,"2
0","0.6456
0.3544","List of Neighborhood and Rural Preservation Program companies including the organization name and service area description.  New York State Homes and Community Renewal (HCR) provides financial support for these community-based housing organizations to perform housing and community renewal activities statewide. These organizations provide assistance including, but not limited to, housing rehabilitation, home buyer counseling, tenant counseling, landlord/tenant mediation, community rehabilitation and renewal, crime watch programs, employment programs, legal assistance, and Main Street Development.",data.ny.gov,http://data.ny.gov/api/assets/D3AA5DEA-1570-4562-A82C-B153FB1385BB,https://data.ny.gov/view/4rsx-6mng,Neighborhood and Rural Preservation Companies Directory,houses,,2,None
766426658,false,finalized,3,8/5/2015 00:39:49,"2
0","0.6518
0.3482",This dataset contains a listing of lodging available near the NYS Canal System,data.ny.gov,http://data.ny.gov/api/assets/D3AA5DEA-1570-4562-A82C-B153FB1385BB,https://data.ny.gov/view/qwdc-i7pb,Lodging Near NYS Canal System,houses,,3,None
766426659,false,finalized,3,8/5/2015 00:38:33,"0
2","0.66
0.34",This dataset contains a list of all surplus material sold at auction by the NYS Thruway Authority from the September 2010 through April 2013,data.ny.gov,http://data.ny.gov/api/assets/D3AA5DEA-1570-4562-A82C-B153FB1385BB,https://data.ny.gov/view/943u-nifx,"Historical Auction Data, NYS Thruway Surplus Property",houses,,4,None
766426660,false,finalized,3,8/5/2015 00:43:36,"2
1","0.6749
0.3251",Data provided by Clients in their Semi-Annual filings submitted to NYS Joint Commission on Public Ethics.,data.ny.gov,http://data.ny.gov/api/assets/D3AA5DEA-1570-4562-A82C-B153FB1385BB,https://data.ny.gov/view/4nj4-t8h6,Lobbying Clients Reportable Business Relationships with State Officials and Employees: Beginning 2012,business,,0,None
766426661,false,finalized,3,8/5/2015 00:43:37,"3
2","0.6648
0.3352","This dataset contains a list of the URLs (web addresses), which host information about the business-related licenses and permits identified in the NY Licensing Center’s Business Wizard.  The NY Licensing Center’s Business Wizard helps users to learn about certain licenses or permits a business may need to get up and running in New York State.",data.ny.gov,http://data.ny.gov/api/assets/D3AA5DEA-1570-4562-A82C-B153FB1385BB,https://data.ny.gov/view/tupc-7ubs,NY License Center Business Wizard,business,,1,None
766426662,false,finalized,3,8/5/2015 00:45:52,2,1.0,The Department of State keeps a record of every filing for every incorporated business in the state of New York. This dataset contains information on all active corporations as of the last business day of the specified month and year.,data.ny.gov,http://data.ny.gov/api/assets/D3AA5DEA-1570-4562-A82C-B153FB1385BB,https://data.ny.gov/view/exzd-3inm,Active Corporations:  Beginning 1800,business,,2,None
766426663,false,finalized,5,8/5/2015 00:44:25,"3
2
1","0.403
0.3913
0.2057","Employment, investment and tax credit information reported by businesses certified in the Empire Zones Program.",data.ny.gov,http://data.ny.gov/api/assets/D3AA5DEA-1570-4562-A82C-B153FB1385BB,https://data.ny.gov/view/jd7s-9jtq,Empire Zones Business Annual Reports: Beginning 2001,business,,3,None
766426664,false,finalized,3,8/5/2015 00:39:49,"2
3","0.6723
0.3277",Data provided by Lobbyist in the Biennial Registration filings submitted to NYS Joint Commission on Public Ethics.,data.ny.gov,http://data.ny.gov/api/assets/D3AA5DEA-1570-4562-A82C-B153FB1385BB,https://data.ny.gov/view/9kmt-26xh,Lobbyist Reportable Business Relationships with State Officials and Employees: Beginning 2012,business,,4,None
766426665,false,finalized,5,8/5/2015 00:48:09,"2
3
1
0","0.3916
0.2139
0.2013
0.1932",Los Angeles International Airport  - Passenger Statistic By Terminal,data.lacity.org,http://data.lacity.org,https://data.lacity.org/view/pr94-76x5,Los Angeles International Airport - Passenger Traffic By Terminal,traffic,,1,None
766426666,false,finalized,3,8/5/2015 00:44:25,2,1.0,"LADOT automated and manual traffic count summary data for intersections throughout Los Angeles. Manual counts (""MAN"" under the ""Type"" column) are generally 6-hr counts which have been expanded  using a conversion factor.",data.lacity.org,http://data.lacity.org,https://data.lacity.org/view/mjyu-72hv,LADOT Traffic Counts Summary,traffic,,2,None
766426667,false,finalized,3,8/5/2015 00:40:06,"3
2","0.6665
0.3335","LADOT automated and manual traffic count summary data for intersections throughout Los Angeles. Manual counts (""MAN"" under the ""Type"" column) are generally 6-hr counts which have been expanded  using a conversion factor.",data.lacity.org,http://data.lacity.org,https://data.lacity.org/d/w4g9-ux6z,LADOT Traffic Counts Summary,traffic,,3,2014-05-29T23:47:41.000Z
766426668,false,finalized,5,8/5/2015 00:45:25,"3
2
1
0","0.4012
0.2041
0.1988
0.1959",Ontario International Airport - Passenger Statistic By Terminal,data.lacity.org,http://data.lacity.org,https://data.lacity.org/d/dfi3-wekr,Ontario International Airport - Passenger Traffic By Terminal,traffic,,4,2014-07-18T22:08:07.000Z
766426669,false,finalized,3,8/5/2015 00:42:26,2,1.0,Los Angeles International Airport  - Passenger Statistic By Terminal,data.lacity.org,http://data.lacity.org,https://data.lacity.org/d/9fva-njtw,Los Angeles International Airport - Passenger Traffic By Terminal,traffic,,6,2014-07-18T21:34:57.000Z
766426670,false,finalized,3,8/5/2015 00:39:01,"1
3","0.6628
0.3372","The Los Angeles Fire Department (LAFD)’s Computer Aided Dispatch (CAD) system is a transactional, event‐driven system that records dates and time stamps based on events triggered by two distinct human interactions: interaction with CAD at the dispatch center via CAD workstation, and interaction with CAD via the Mobile Data Computer (MDC) installed in the responding LAFD unit, communicating with CAD through the LAFD’s Radio Network Controller (RNC).",data.lacity.org,http://data.lacity.org,https://data.lacity.org/view/5yp4-m7y6,LAFD_ResponseMetrics_RawData,fire,,0,None
766426671,false,finalized,5,8/5/2015 00:44:25,"0
3
1
2","0.3903
0.2101
0.2041
0.1956","The Department of Building and Safety issues permits for the construction, remodeling, and repair of buildings and structures in the City of Los Angeles.  Permits are categorized into building permits, electrical permits, and mechanical permits (which include plumbing, HVAC systems, fire sprinklers, elevators, and pressure vessels).  Depending on the complexity of a project, a permit may be issued the same day with Express Permit or e-Permit (""No Plan Check"" category), or a permit may require that the plans be reviewed (""Plan Check"" category) by a Building and Safety Plan Check personnel.",data.lacity.org,http://data.lacity.org,https://data.lacity.org/view/snyu-94ar,Building and Safety Permit Information,fire,,1,None
766426672,false,finalized,5,8/5/2015 00:45:20,"2
3
1","0.6205
0.1984
0.1811","The Los Angeles Fire Department (LAFD)’s Computer Aided Dispatch (CAD) system is a transactional, event‐driven system that records dates and time stamps based on events triggered by two distinct human interactions: interaction with CAD at the dispatch center via CAD workstation, and interaction with CAD via the Mobile Data Computer (MDC) installed in the responding LAFD unit, communicating with CAD through the LAFD’s Radio Network Controller (RNC).",data.lacity.org,http://data.lacity.org,https://data.lacity.org/d/jtu8-d8yu,LAFD_ResponseMetrics_RawData,fire,,2,2014-10-29T17:51:31.000Z
766426673,false,finalized,3,8/5/2015 00:50:28,0,1.0,Insurance Processed and Manually Approved,data.lacity.org,http://data.lacity.org,https://data.lacity.org/d/u6rb-bvxn,Port of Los Angeles – Track4LA Approvals (Manual),fire,,3,2015-02-11T23:30:33.000Z
766426674,false,finalized,3,8/5/2015 00:44:21,"0
1","0.6456
0.3544",List of city-owned facilities. The Department numbers correspond to the key below:,data.lacity.org,http://data.lacity.org,https://data.lacity.org/view/b3mh-zw4q,City Facilities (Building Book),fire,,4,None
766426675,false,finalized,3,8/5/2015 00:38:33,"0
2","0.66
0.34",Port of Los Angeles - Client Tracking System (Expired Insurance) - Contracts with Expired Insurance,data.lacity.org,http://data.lacity.org,https://data.lacity.org/view/s5h5-mwaz,Port of Los Angeles - Client Tracking System (Expired Insurance),transportation,,0,None
766426676,false,finalized,3,8/5/2015 00:38:33,0,1.0,POLA Finance Annual Financial Report (CAFR),data.lacity.org,http://data.lacity.org,https://data.lacity.org/view/qw5f-i3c5,POLA Finance Annual Financial Report (CAFR),transportation,,2,None
766426677,false,finalized,5,8/5/2015 00:52:34,"0
2
1","0.5835
0.2082
0.2082",Port of Los Angeles - Application for Discretionary Permit (ADP) Project,data.lacity.org,http://data.lacity.org,https://data.lacity.org/view/nqqn-icgg,Port of Los Angeles - ADP Project,transportation,,3,None
766426678,false,finalized,3,8/5/2015 00:43:36,0,1.0,Port of Los Angeles - Active Project List,data.lacity.org,http://data.lacity.org,https://data.lacity.org/view/gqv9-tb43,Port of Los Angeles - Active Project List,transportation,,4,None
766426679,false,finalized,3,8/5/2015 00:42:16,"3
2","0.6588
0.3412",This dataset contains metrics that measure the operational performance of the Department of Transportation. These metrics are used on a regular basis by the department and the Mayor to evaluate progress and inform decision making. Performance management forms the foundation of a data-driven culture of innovation and excellence in the City of Los Angeles.,data.lacity.org,http://data.lacity.org,https://data.lacity.org/view/3tcu-adqp,Department Of Transportation (DOT) - Performance Metrics,transportation,,7,None
766426680,false,finalized,3,8/5/2015 00:39:01,"3
2","0.6417
0.3583","This metric measures the proportion of water that is locally sourced within the Los Angeles Basin. The higher this percentage, the less water we import from other regions. Our in-basin local water supply includes groundwater, recycled water, and captured stormwater. LADWP is working toward increasing the local water supply through conservation and local sources",data.lacity.org,http://data.lacity.org,https://data.lacity.org/d/5s24-ev45,DWP - In basin Water,dwp metrics,,0,2014-06-12T15:23:06.000Z
766426681,false,finalized,3,8/5/2015 00:44:25,"3
1","0.6748
0.3252","This metric measures the average total daily water use in Los Angeles, divided by the total number of residents. As this figure includes commercial, industrial, and institutional water use, this figure does not represent the average personal daily use of an individual Angeleno.",data.lacity.org,http://data.lacity.org,https://data.lacity.org/d/mttr-i5ni,DWP Per Capita Water,dwp metrics,,1,2014-06-12T16:10:45.000Z
766426682,false,finalized,3,8/5/2015 00:43:08,3,1.0,"This metric measures the proportion of water that is locally sourced within the Los Angeles Basin. The higher this percentage, the less water we import from other regions. Our in-basin local water supply includes groundwater, recycled water, and captured stormwater. LADWP is working toward increasing the local water supply through conservation and local sources",data.lacity.org,http://data.lacity.org,https://data.lacity.org/view/ccvy-xvcu,DWP - In basin Water,dwp metrics,,2,None
766426683,false,finalized,3,8/5/2015 00:38:33,3,1.0,This dataset contains metrics that measure the operational performance of the Department of Water and Power. These metrics are used on a regular basis by the department and the Mayor to evaluate progress and inform decision making. Performance management forms the foundation of a data-driven culture of innovation and excellence in the City of Los Angeles.,data.lacity.org,http://data.lacity.org,https://data.lacity.org/d/9dep-xycv,Department Of Water And Power (DWP) - Performance Metrics,dwp metrics,,3,2015-04-08T21:34:14.000Z
766426684,false,finalized,3,8/5/2015 00:39:01,"3
2","0.6417
0.3583","Los Angeles gets its water from several sources, including local water supplies, recycled water and the Owens Valley. When those sources do not provide enough to meet demand, the DWP must purchase water on the open market from the Metropolitan Water District. Water from the MWD costs more than the other sources, so keeping purchases from MWD low is important to ensuring stable and affordable rates for DWP customers. More information: https://www.ladwp.com/ladwp/faces/ladwp/aboutus/a-water/a-w-sourcesofsupply?_adf.ctrl-state=1cnzdaglow_191&_afrLoop=65694383993634&_afrWindowMode=0&_afrWindowId=null#%40%3F_afrWindowId%3Dnull%26_afrLoop%3D65694383993634%26_afrWindowMode%3D0%26_adf.ctrl-state%3D15ucu0sq05_17",data.lacity.org,http://data.lacity.org,https://data.lacity.org/view/7be9-s2zn,DWP - Percentage Of Water Purchased From MWD  3 Yr. Avg.,dwp metrics,,4,None
766426685,false,finalized,3,8/5/2015 00:39:49,0,1.0,A listing of open bid opportunities provided by the City of Los Angeles and available on the Los Angeles Business Assistance Virtual Network (BAVN) at http://www.labavn.org,data.lacity.org,http://data.lacity.org,https://data.lacity.org/d/qe29-9g3i,BAVN Open Bid Opportunities,title,,2,2014-05-30T17:19:35.000Z
766426686,false,finalized,3,8/5/2015 00:43:36,0,1.0,Google Analytics data for LACity.org domain,data.lacity.org,http://data.lacity.org,https://data.lacity.org/d/xc5v-im6c,Web Analytics Lacity.org October 2014,title,,3,2014-12-02T22:38:38.000Z
766426687,false,finalized,3,8/5/2015 00:43:37,0,1.0,Google Analytics data for LACity.org domain,data.lacity.org,http://data.lacity.org,https://data.lacity.org/d/7s78-zxqu,Web Analytics Lacity.org May 2015,title,,4,2015-06-02T21:49:33.000Z
766426688,false,finalized,3,8/5/2015 00:43:37,0,1.0,Google Analytics data for LACity.org domain,data.lacity.org,http://data.lacity.org,https://data.lacity.org/d/h39n-6a6k,Web Analytics Lacity.org January 2015,title,,5,2015-03-02T19:26:27.000Z
766426689,false,finalized,3,8/5/2015 00:38:33,"0
-1","0.66
0.34",Google Analytics data for LACity.org domain,data.lacity.org,http://data.lacity.org,https://data.lacity.org/d/2djm-xfh5,Web Analytics Lacity.org March 2015,title,,6,2015-04-01T21:02:58.000Z
766426690,false,finalized,5,8/5/2015 00:45:38,"0
2
1
3","0.4149
0.2019
0.1988
0.1844",This dataset contains a list of the certified Minority Business Enterprises (MBE) within the state of Maryland as well as the industry each MBE is affiliated with. This program is affiliated with the Maryland Department of Transportation.,data.maryland.gov,http://data.maryland.gov/api/assets/89D06809-B955-4941-8C90-0B3DA0BF29B5,https://data.maryland.gov/view/d47x-je8k,Minority Business Enterprise,Transportation,,0,None
766426691,false,finalized,3,8/5/2015 00:42:26,"3
2","0.6557
0.3443",This map shows ongoing projects from the State Highway Administration (SHA) funded through the Transportation Infrastructure and Investment Act.,data.maryland.gov,http://data.maryland.gov/api/assets/89D06809-B955-4941-8C90-0B3DA0BF29B5,https://data.maryland.gov/d/jn66-pznu,"SHA Transportation Infrastructure and Investment Act Projects: Snapshot as of September 11, 2014",Transportation,,1,2014-09-25T18:25:09.000Z
766426692,false,finalized,3,8/5/2015 00:42:16,"2
1","0.6588
0.3412",Collisions investigated by the Maryland State Police in 2012 (does not include collisions investigated by local jurisdictions).,data.maryland.gov,http://data.maryland.gov/api/assets/89D06809-B955-4941-8C90-0B3DA0BF29B5,https://data.maryland.gov/view/2tfw-kx9a,2012 Vehicle Collisions Investigated by State Police,Transportation,,2,None
766426693,false,finalized,3,8/5/2015 00:42:07,0,1.0,This dataset contains a list of the certified Disadvantaged Business Enterprises (DBE) within the state of Maryland as well as the industry each DBE is affiliated with. This program is affiliated with the Maryland Department of Transportation.,data.maryland.gov,http://data.maryland.gov/api/assets/89D06809-B955-4941-8C90-0B3DA0BF29B5,https://data.maryland.gov/d/nmbj-mr7v,Disadvantaged Business Enterprise,Transportation,,3,2014-09-02T14:45:11.000Z
766426694,false,finalized,3,8/5/2015 00:42:16,"0
2","0.6588
0.3412",This dataset contains a list of the certified Airport Concessions Disadvantaged Business Enterprise (ACDBE) within the state of Maryland as well as the industry each ACDBE is affiliated with. This program is affiliated with the Maryland Department of Transportation.,data.maryland.gov,http://data.maryland.gov/api/assets/89D06809-B955-4941-8C90-0B3DA0BF29B5,https://data.maryland.gov/d/gkrv-s7hn,Airport Concessions Disadvantaged Business Enterprise,Transportation,,4,2014-09-02T14:45:20.000Z
766426695,false,finalized,3,8/5/2015 00:43:36,"1
2","0.688
0.312","Taxation - income, property, corporate, and credit.",data.maryland.gov,http://data.maryland.gov/api/assets/89D06809-B955-4941-8C90-0B3DA0BF29B5,https://data.maryland.gov/d/xf7b-xzjn,Choose Maryland:  Compare Counties - Taxes,real property ,,0,2015-04-13T12:50:24.000Z
766426696,false,finalized,3,8/5/2015 00:44:26,"2
0","0.6491
0.3509","An asterisk (*) indicates a month when a camera was not in use. All data are provided by the Maryland State Highway Administration (SHA) each month to StateStat. Access permit and project submittal data are tracked especially closely by SHA and StateStat, and are discussed in each monthly SHA stat meeting. The metrics and data here are updated each month, in an iterative process in response to StateStat discussions.",data.maryland.gov,http://data.maryland.gov/api/assets/89D06809-B955-4941-8C90-0B3DA0BF29B5,https://data.maryland.gov/d/vcmk-32kf,"SHA Projects Report: Construction, Excess Properties, Access Permits, & Project Submittals",real property ,,1,2014-10-28T19:40:15.000Z
766426697,false,finalized,3,8/5/2015 00:45:18,"0
2","0.6697
0.3303","Taxation - income, property, corporate, and credit.",data.maryland.gov,http://data.maryland.gov/api/assets/89D06809-B955-4941-8C90-0B3DA0BF29B5,https://data.maryland.gov/view/hckd-9eyz,Choose Maryland:  Compare Counties - Taxes,real property ,,2,None
766426698,false,finalized,3,8/5/2015 00:45:18,0,1.0,Maryland African American Heritage Preservation Programs Grants for the fiscal year of 2012 and 2013. The data includes the area location and the amount of the grant that was awarded.,data.maryland.gov,http://data.maryland.gov/api/assets/89D06809-B955-4941-8C90-0B3DA0BF29B5,https://data.maryland.gov/d/vve5-jmcv,"Maryland African American Heritage Preservation Program Grants, FY2012 and FYTD2013",real property ,,3,2013-05-14T18:08:18.000Z
766426699,false,finalized,3,8/5/2015 00:45:52,0,1.0,"Data are provided by the Department of General Services (DGS). This report, updated monthly, shows DGS-wide overtime use, IWIF reports, and sick leave, and accident leave.",data.maryland.gov,http://data.maryland.gov/api/assets/89D06809-B955-4941-8C90-0B3DA0BF29B5,https://data.maryland.gov/d/ukyx-ahn5,DGS Personnel Report,real property ,,4,2015-01-29T17:26:10.000Z
766426700,false,finalized,5,8/5/2015 00:51:43,"1
3
0","0.5852
0.2104
0.2044",Handgun Permit Activity by month for 2012 and 2013. Data are provided by the Maryland State Police (MSP).,data.maryland.gov,http://data.maryland.gov/api/assets/89D06809-B955-4941-8C90-0B3DA0BF29B5,https://data.maryland.gov/d/bkwx-jqbm,2012-2013 Handgun Permit Summary,permit fireworks,,0,2014-08-20T18:56:42.000Z
766426701,false,finalized,3,8/5/2015 00:43:08,0,1.0,An asterisk (*) indicates data were not tracked. All data are provided by the Maryland State Highway Administration (SHA) each month to StateStat.,data.maryland.gov,http://data.maryland.gov/api/assets/89D06809-B955-4941-8C90-0B3DA0BF29B5,https://data.maryland.gov/d/vzfs-j5vi,SHA Communications Report,permit fireworks,,1,2014-08-15T15:43:13.000Z
766426702,false,finalized,3,8/5/2015 00:40:06,"0
2","0.6567
0.3433","An asterisk (*) indicates a month when a camera was not in use. All data are provided by the Maryland State Highway Administration (SHA) each month to StateStat. Access permit and project submittal data are tracked especially closely by SHA and StateStat, and are discussed in each monthly SHA stat meeting. The metrics and data here are updated each month, in an iterative process in response to StateStat discussions.",data.maryland.gov,http://data.maryland.gov/api/assets/89D06809-B955-4941-8C90-0B3DA0BF29B5,https://data.maryland.gov/d/vcmk-32kf,"SHA Projects Report: Construction, Excess Properties, Access Permits, & Project Submittals",permit fireworks,,2,2014-10-28T19:40:15.000Z
766426703,false,finalized,5,8/5/2015 00:45:20,"0
1
2","0.4075
0.3942
0.1984",This dataset includes all issued permits by the City of Frederick from 1/1/12 to 6/6/14,data.maryland.gov,http://data.maryland.gov/api/assets/89D06809-B955-4941-8C90-0B3DA0BF29B5,https://data.maryland.gov/d/4949-8p8d,City of Frederick Issued Permits,permit fireworks,,3,2014-06-06T15:22:09.000Z
766426704,false,finalized,3,8/5/2015 00:43:37,"0
1","0.6845
0.3155",New housing units authorized for construction in Maryland and its Jurisdictions from 2000 to 2011 and cumulative 2000-2012.,data.maryland.gov,http://data.maryland.gov/api/assets/89D06809-B955-4941-8C90-0B3DA0BF29B5,https://data.maryland.gov/d/ja9d-2up9,Maryland Building Permits 2000-2012,permit fireworks,,4,2013-11-20T15:26:55.000Z
766426705,false,finalized,3,8/5/2015 00:45:52,0,1.0,Plant nurseries in Maryland,data.maryland.gov,http://data.maryland.gov/api/assets/89D06809-B955-4941-8C90-0B3DA0BF29B5,https://data.maryland.gov/d/mnw5-jk24,Plant Nurseries 2013,businesses email address,,0,2013-10-25T19:16:30.000Z
